city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Bình Dương,08/11/2021,_,Thành phố Thủ Dầu Một,2,12m,9297601,12m," 3,2 tỷ ",---,3, 120 m,Cần bán,Nhà mặt tiền,Phường Hiệp An,6m
Bình Dương,08/11/2021,_,Thành phố Thuận An,---,10m,9282164,70m, 32 tỷ ,Sổ hồng/ Sổ đỏ,---, 900 m,Cần bán,Nhà mặt tiền,Phường An Phú,17m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,4m,9163741,12m," 2,55 tỷ ",Sổ hồng/ Sổ đỏ,3, 60 m,Cần bán,Nhà trong hẻm,Phường Đông Hòa,5m
Bình Dương,08/11/2021,_,Thành phố Thủ Dầu Một,18,20m,8729558,30m, 680 triệu ,Sổ hồng/ Sổ đỏ,18, 600 m,Cần bán,"Đất thổ cư, đất ở",Phường Phú Cường,20m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,20m,9016838,18m, 9 tỷ ,Sổ hồng/ Sổ đỏ,---, 121 m,Cần bán,"Đất thổ cư, đất ở",Phường Tân Đông Hiệp,7m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,2,3m,8632589,10m," 1,28 tỷ ",Giấy tờ hợp lệ,3, 40 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,11/09/2021,_,Huyện Bàu Bàng,---,13m,7839752,---, 600 triệu ,Sổ hồng/ Sổ đỏ,---, 105 m,Cần bán,"Đất thổ cư, đất ở",Thị trấn Lai Uyên,5m
Bình Dương,08/11/2021,_,Thị xã Bến Cát,2,20m,9290851,30m, 850 triệu ,Sổ hồng/ Sổ đỏ,24, 150 m,Cần bán,"Đất thổ cư, đất ở",Phường Tân Định,10m
Bình Dương,08/11/2021,_,Thành phố Thuận An,23,---,9212730,---, 23 triệu / m,---,2, 55 m,Cần bán,Căn hộ chung cư,Phường Bình Hòa,---
Bình Dương,16/09/2021,_,Huyện Bắc Tân Uyên,---,13m,9027125,---, 10 triệu / m,Sổ hồng/ Sổ đỏ,---, 64 m,Cần bán,"Đất nền, liền kề, đất dự án",Xã Bình Mỹ,---
Bình Dương,16/09/2021,_,Huyện Phú Giáo,---,5m,9027223,---, 950 triệu ,Sổ hồng/ Sổ đỏ,---, 230 m,Cần bán,"Đất thổ cư, đất ở",Thị trấn Phước Vĩnh,---
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,4m,9184672,12m," 2,85 tỷ ",Sổ hồng/ Sổ đỏ,2, 95 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,7m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,1,4m,9184587,14m," 2,87 tỷ ",Sổ hồng/ Sổ đỏ,2, 55 m,Cần bán,Nhà trong hẻm,Phường Dĩ An,4m
Bình Dương,08/11/2021,_,Thành phố Dĩ An,---,4m,9184466,17m," 2,17 tỷ ",Sổ hồng/ Sổ đỏ,2, 68 m,Cần bán,Nhà trong hẻm,Phường Tân Đông Hiệp,4m
Bình Dương,14/09/2021,_,Thị xã Bến Cát,---,13m,9020624,18m," 1,5 tỷ ",Sổ hồng/ Sổ đỏ,---, 90 m,Cần bán,"Đất thổ cư, đất ở",Phường Hòa Lợi,5m
Bình Dương,14/09/2021,_,Thị xã Tân Uyên,---,13m,9020626,20m," 1,05 tỷ ",Sổ hồng/ Sổ đỏ,---, 100 m,Cần bán,Nhà mặt tiền,Phường Uyên Hưng,5m
Bình Dương,14/09/2021,_,Thị xã Tân Uyên,---,48m,9020819,24m," 1,09 tỷ ",---,---, 120 m,Cần bán,"Đất thổ cư, đất ở",Xã Vĩnh Tân,5m
Bình Dương,16/09/2021,_,Huyện Bắc Tân Uyên,---,13m,9026604,20m, 900 triệu ,---,---, 100 m,Cần bán,"Đất thổ cư, đất ở",Xã Bình Mỹ,5m
Bình Dương,14/09/2021,_,Thị xã Tân Uyên,---,13m,9020937,18m," 1,05 tỷ ",---,---, 9.090 m,Cần bán,"Đất thổ cư, đất ở",Xã Vĩnh Tân,5m
Bình Dương,08/11/2021,Đông Nam,Thành phố Dĩ An,---,16m,8149994,25m, 15 tỷ ,Sổ hồng/ Sổ đỏ,---, 125 m,Cần bán,"Đất thổ cư, đất ở",Phường Dĩ An,5m
Bình Dương,08/11/2021,_,Thị xã Bến Cát,---,5m,8149915,40m," 1,11 tỷ ",Sổ hồng/ Sổ đỏ,---, 1.268 m,Cần bán,"Đất thổ cư, đất ở",Xã An Tây,35m
