city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Đồng Nai,Ngày đăng: 02/11/2021,_,Huyện Định Quán,---,8m,9288000,100m, 95 triệu / m,Sổ hồng/ Sổ đỏ,---, 1.002 m,Cần bán,"Đất thổ cư, đất ở",Xã Ngọc Định,10m
Đồng Nai,Ngày đăng: Hôm nay,_,Huyện Long Thành,---,13m,7745863,21m," 15,5 triệu / m",---,---, 252 m,Cần bán,"Đất nền, liền kề, đất dự án",Xã Bình Sơn,5m
Đồng Nai,Ngày đăng: Hôm nay,_,Thành phố Biên Hoà,1,5m,8464863,"21,5m"," 2,85 tỷ ",Sổ hồng/ Sổ đỏ,3, 85 m,Cần bán,Nhà trong hẻm,Xã Tân Hạnh,4m
Đồng Nai,Ngày đăng: Hôm nay,_,Thành phố Biên Hoà,---,5m,7358466,28m," 3,1 tỷ ",---,2, 128 m,Cần bán,Nhà trong hẻm, Phường Tân Hiệp,5m
Đồng Nai,Ngày đăng: Hôm nay,Đông Nam,Thành phố Biên Hoà,1,15m,7683690,32m, 8 tỷ ,Sổ hồng/ Sổ đỏ,2, 179 m,Cần bán,Nhà mặt tiền,Phường Trảng Dài,"5,5m"
Đồng Nai,Ngày đăng: Hôm nay,_,Huyện Trảng Bom,---,25m,9034315,270m," 3,68 triệu / m",Sổ hồng/ Sổ đỏ,---, 40.000 m,Cần bán,"Kho, xưởng",Xã Hố Nai 3,150m
Đồng Nai,Ngày đăng: Hôm nay,_,Thành phố Biên Hoà,---,20m,9110436,220m, 130 tỷ ,Sổ hồng/ Sổ đỏ,---, 22.000 m,Cần bán,"Kho, xưởng",Phường Tam Phước,100m
Đồng Nai,Ngày đăng: Hôm nay,_,Huyện Định Quán,---,6m,9289639,100m," 1,5 tỷ ",---,---, 3.000 m,Cần bán,"Đất nông, lâm nghiệp",Xã Phú Ngọc,30m
Đồng Nai,Ngày đăng: 09/09/2021,_,Thành phố Biên Hoà,1,4m,8800095,27m," 3,58 tỷ ",Sổ hồng/ Sổ đỏ,3, 131 m,Cần bán,Nhà trong hẻm,Phường Trảng Dài,"4,7m"
Đồng Nai,Ngày đăng: 15/09/2021,_,Thành phố Biên Hoà,---,4m,8609674,17m," 1,8 tỷ ",Sổ hồng/ Sổ đỏ,---, 146 m,Cần bán,"Đất thổ cư, đất ở",Phường An Hòa,10m
Đồng Nai,Ngày đăng: 15/09/2021,_,Thành phố Biên Hoà,---,3m,8587903,17m," 1,6 tỷ ",Sổ hồng/ Sổ đỏ,2, 68 m,Cần bán,Nhà trong hẻm,Phường Tam Hiệp,4m
Đồng Nai,Ngày đăng: Hôm nay,Đông Bắc,Thành phố Biên Hoà,1,5m,9068240,"10,5m"," 2,45 tỷ ",Sổ hồng/ Sổ đỏ,3, 130 m,Cần bán,Nhà trong hẻm,Phường Trảng Dài,6m
Đồng Nai,Ngày đăng: Hôm nay,Đông Bắc,Thành phố Biên Hoà,2,5m,9091440,27m," 3,5 tỷ ",Sổ hồng/ Sổ đỏ,4, 132 m,Cần bán,Nhà trong hẻm,Phường Trảng Dài,5m
Đồng Nai,Ngày đăng: 14/09/2021,Tây,Thành phố Long Khánh,---,14m,9021358,66m," 9,3 tỷ ",Sổ hồng/ Sổ đỏ,1, 510 m,Cần bán,Nhà mặt tiền,Phường Xuân Tân,8m
Đồng Nai,Ngày đăng: Hôm nay,Đông Nam,Thành phố Biên Hoà,---,5m,9181195,27m," 1,7 tỷ ",Sổ hồng/ Sổ đỏ,---, 138 m,Cần bán,"Đất thổ cư, đất ở",Phường Trảng Dài,5m
