city,date,direction,district,floors,front_road,id,length,price,property_legal_document,rooms,size,type_adv,type_real_estate,ward,width
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Huyện Củ Chi,---,20m,9297054,56m," 3,85 tỷ ",Sổ hồng/ Sổ đỏ,---, 5.446 m,Cần bán,"Đất thổ cư, đất ở",Xã Nhuận Đức,80m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 1,4,20m,9316524,---, 130 tỷ ,---,---, 315 m,Cần bán,Nhà mặt tiền,Phường Bến Thành,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 3,3,30m,8130260,---, 55 tỷ ,---,6, 185 m,Cần bán,Nhà mặt tiền,Phường 6,---
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,7,30m,7454629,26m, 70 tỷ ,---,36, 345 m,Cần bán,Nhà mặt tiền,Phường 24,12m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Gò Vấp,3,8m,7481718,20m," 6,3 tỷ ",Sổ hồng/ Sổ đỏ,4, 120 m,Cần bán,Nhà trong hẻm,Phường 17,6m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận 10,1,"2,5m",9320214,"10,3m", 7 tỷ ,Sổ hồng/ Sổ đỏ,3, 76 m,Cần bán,Nhà trong hẻm,Phường 12,"7,4m"
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Nam,Huyện Củ Chi,---,12m,9162635,50m," 2,4 triệu / m",Sổ hồng/ Sổ đỏ,---, 10.000 m,Cần bán,"Đất thổ cư, đất ở",Xã Trung Lập Hạ,20m
Hồ Chí Minh,Ngày đăng: 10/09/2021,_,Quận 2,3,20m,9012023,---, 50 tỷ ,---,6, 177 m,Cần bán,Nhà mặt tiền,Phường Bình An,---
Hồ Chí Minh,Ngày đăng: 10/09/2021,_,Quận 2,4,20m,9012068,---, 63 tỷ ,---,8, 200 m,Cần bán,Nhà mặt tiền,Phường An Phú,---
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông,Quận Bình Tân,3,7m,9276675,12m," 2,2 tỷ ",Sổ hồng/ Sổ đỏ,5, 200 m,Cần bán,Nhà mặt tiền,Phường Bình Hưng Hòa B,"4,3m"
Hồ Chí Minh,Ngày đăng: 10/09/2021,_,Quận 2,3,20m,9012080,---, 125 tỷ ,---,6, 600 m,Cần bán,Nhà mặt tiền,Phường Thảo Điền,---
Hồ Chí Minh,Ngày đăng: Hôm qua,_,Thành phố Thủ Đức,11,7m,9197796,13m," 3,35 tỷ ",Sổ hồng/ Sổ đỏ,2, 53 m,Cần bán,Nhà trong hẻm,Phường Linh Xuân,4m
Hồ Chí Minh,Ngày đăng: Hôm nay,Đông Bắc,Quận 9,---,10m,6343677,20m," 7,6 tỷ ",Sổ hồng/ Sổ đỏ,---, 200 m,Cần bán,"Đất thổ cư, đất ở",Phường Phú Hữu,10m
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,5,3m,8002051,10m," 5,8 tỷ ",Sổ hồng/ Sổ đỏ,5, 35 m,Cần bán,Nhà trong hẻm,Phường 19,"3,5m"
Hồ Chí Minh,Ngày đăng: Hôm nay,_,Quận Bình Thạnh,8,8m,9316945,24m, 21 tỷ ,Sổ hồng/ Sổ đỏ,35, 120 m,Cần bán,"Phòng trọ, nhà trọ",Phường 26,5m
Hồ Chí Minh,Ngày đăng: 10/09/2021,_,Quận 2,3,20m,9012033,---, 120 tỷ ,---,6, 700 m,Cần bán,Nhà mặt tiền,Phường Thảo Điền,---
