address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,floors,furnishing_sell,house_type,land_feature,land_type,length,living_size,price,price_m2,property_back_condition,property_legal_document,property_road_condition,property_status,region,rooms,size,toilets,type_real_estate,unitnumber,ward,width
"Đường DX 027, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",,,Thành phố Thủ Dầu Một,,,,,,,Nhà ngõ,,,22 m,80 m²,2550000000,"23,18 triệu/m²",,Đã có sổ,,,Bình Dương,2 phòng,110 m²,1 phòng,Căn hộ/Chung cư,,Phường Phú Mỹ,5 m
"Đường 743, Phường Bình Chuẩn, Bình Dương",,,,,,,,,,Nhà phố liền kề,,,11 m,55 m²,950000000,"17,27 triệu/m²",,Đang chờ sổ,,,Bình Dương,2 phòng,55 m²,2 phòng,Căn hộ/Chung cư,,Phường Bình Chuẩn,5 m
"Đường Bê Tông 5m, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",,,Thành phố Thủ Dầu Một,,,Đông Nam,,1,Nội thất cao cấp,Nhà mặt phố,,,16 m,120 m²,3100000000,"38,27 triệu/m²",Nở hậu,1,Hẻm xe hơi,,Bình Dương,3 phòng,81 m²,2 phòng,Nhà ở,6789,Phường Phú Mỹ,5 m
"Đường số 7 khu dân cư Đồng An 2, Phường Bình Hòa, Thành phố Thuận An, ",,,Thành phố Thuận An,,,,,,,Nhà phố liền kề,,,24 m,350 m²,6900000000,"29,24 triệu/m²",,1,1,,,4 phòng,236 m²,3 phòng,Nhà ở,,Phường Bình Hòa,10 m
"Đường DX 001, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",,,Thành phố Thủ Dầu Một,,,,,,Nội thất đầy đủ,Nhà ngõ,,,13 m,120 m²,3350000000,"34,54 triệu/m²",,Đã có sổ,Hẻm xe hơi,,Bình Dương,3 phòng,97 m²,2 phòng,Nhà ở,,Phường Phú Mỹ,7.5 m
"Đường N1, Phường Tân Đông Hiệp, Bình Dương",,,,,,3,,3,Nội thất đầy đủ,Nhà mặt phố,,,15 m,165 m²,3200000000,"53,33 triệu/m²",Nở hậu,1,,,Bình Dương,4 phòng,60 m²,3 phòng,Nhà ở,,Phường Tân Đông Hiệp,4 m
"ngã 4 bình chuẩn, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",,,Thành phố Thuận An,,,,,,,Nhà ngõ,,,12 m,50 m²,1320000000,"26,4 triệu/m²",,,,,Bình Dương,3 phòng,50 m²,2 phòng,Nhà ở,,Phường Bình Chuẩn,4.15 m
"Hẻm Cháo Lòng Nam Đinh, Thị xã Dĩ An, Bình Dương",,,Thị xã Dĩ An,,,,,,,Nhà ngõ,,,9 m,56 m²,900000000,25 triệu/m²,,Giấy tờ khác,,,Bình Dương,2 phòng,36 m²,1 phòng,Căn hộ/Chung cư,,,4 m
"Đường Phan Bội Châu, Phường Dĩ An, Bình Dương",,,,,,Đông Nam,,,,Nhà ngõ,,,8.5 m,66 m²,1950000000,"59,09 triệu/m²",,,,,Bình Dương,2 phòng,33 m²,2 phòng,Căn hộ/Chung cư,,Phường Dĩ An,4 m
"220 huỳnh văn luỹ, ",,,,,,,,,Nội thất cao cấp,Nhà ngõ,,,22 m,95 m²,4000000000,"42,11 triệu/m²",,1,1,,,3 phòng,95 m²,3 phòng,Căn hộ/Chung cư,,,4 m
