address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,furnishing_sell,price,price_m2,property_legal_document,property_status,region,rooms,size,toilets,unitnumber,ward
"Đường Trần Phú, Phường Chánh Nghĩa, Thủ Dầu Một, Bình Dương, Phường Chánh Nghĩa, Thành phố Thủ Dầu Một, Bình Dương",,Chung cư,Thành phố Thủ Dầu Một,Bắc,,Nam,,,2600000000,"35,62 triệu/m²",,Chưa bàn giao,Bình Dương,2 phòng,73 m²,2 phòng,,Phường Chánh Nghĩa
"Đường Lê Thị Chung, Phường An Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Tây,A,Đông,,Nội thất đầy đủ,1100000000,"23,4 triệu/m²",Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,47 m²,1 phòng,,Phường An Phú
"Đường Thuận Giao 25, phường Thuận Giao, thành phố Thuận An, Bình Dương.",,Chung cư,Thành phố Thuận An,,2,,,Nội thất cao cấp,900000000,15 triệu/m²,Đã có sổ,Chưa bàn giao,Bình Dương,2 phòng,60 m²,2 phòng,,Phường Thuận Giao
"Đường Thuận Giao 25, phường Thuận Giao, thành phố Thuận An, Bình Dương.",,Chung cư,Thành phố Thuận An,,2 Block cao 29 tầng,,,Hoàn thiện cơ bản,900000000,"15,25 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,59.7 m²,1 phòng,,Phường Thuận Giao
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,2400000000,"32,43 triệu/m²",,Đã bàn giao,Bình Dương,2 phòng,74 m²,2 phòng,,Phường An Bình
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,a,Đông Nam,9,Hoàn thiện cơ bản,2400000000,"32,43 triệu/m²",Đang chờ sổ,Đã bàn giao,Bình Dương,2 phòng,74 m²,2 phòng,,Phường An Bình
"65 Đường Phạm Hữu Lầu, Phường Dĩ An, Dĩ An, Bình Dương, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Căn góc,Chung cư,Thị xã Dĩ An,Nam,B,Bắc,,Hoàn thiện cơ bản,1560000000,"26,9 triệu/m²",Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,58 m²,2 phòng,,Phường Dĩ An
"Đường Vĩnh Phú 38, Phường Vĩnh Phú, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Đông Nam,,Tây Bắc,,,21700000,409.433 đ/m²,Giấy tờ khác,Chưa bàn giao,Bình Dương,2 phòng,53 m²,1 phòng,,Phường Vĩnh Phú
"Thuận Giao 25, Phường Thuận Giao, Thành phố Thuận An, Bình Dương",Căn góc,Chung cư,Thành phố Thuận An,,2 block,,29,Hoàn thiện cơ bản,900000000,20 triệu/m²,Đang chờ sổ,Chưa bàn giao,Bình Dương,2 phòng,45 m²,2 phòng,,Phường Thuận Giao
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,,2300000000,"26,74 triệu/m²",,Đã bàn giao,Bình Dương,2 phòng,86 m²,2 phòng,,Phường An Bình
"18 Kha Vạn Cân, phường An Bình, thị xã Dĩ An, Bình Dương, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,Đông Nam,B1,Tây,16,Nội thất cao cấp,3000000000,"35,29 triệu/m²",Giấy tờ khác,Đã bàn giao,Bình Dương,2 phòng,85 m²,2 phòng,B1-16-08,Phường An Bình
"Đường Tân Lập, Phường An Bình, Thị xã Dĩ An, Bình Dương",,Chung cư,Thị xã Dĩ An,,,,,Hoàn thiện cơ bản,300000000,"9,09 triệu/m²",Giấy tờ khác,Đã bàn giao,Bình Dương,1 phòng,33 m²,1 phòng,,Phường An Bình
"Đường Quốc Lộ 13, Phường Lái Thiêu, Thành phố Thuận An, Bình Dương",,Chung cư,Thành phố Thuận An,Nam,Block A,Tây,7,Hoàn thiện cơ bản,1500000000,"31,91 triệu/m²",Đang chờ sổ,Đã bàn giao,Bình Dương,1 phòng,47 m²,1 phòng,7.16,Phường Lái Thiêu
