address,area,block,direction,floors,furnishing_sell,house_type,land_type,length,living_size,price,price_m2,property_legal_document,property_road_condition,region,rooms,size,toilets,ward,width
"Đường Nguyễn An Ninh, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Nam,2,,Nhà ngõ,,4 m,88 m²,2450000000,"55,68 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,44 m²,2 phòng,Phường Dĩ An,10 m
"Đường Tân Long, Phường Tân Đông Hiệp, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,2,,Nhà mặt phố,,19 m,60 m²,2280000000,"23,51 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,97 m²,2 phòng,Phường Tân Đông Hiệp,5 m
"Đường Vành Đai 4, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,Đông,2,,Nhà mặt phố,,16 m,166.5 m²,3000000000,"37,5 triệu/m²",Đang chờ sổ,Hẻm xe hơi,Bình Dương,2 phòng,80 m²,2 phòng,Phường Thới Hòa,5 m
"Đường Nguyễn Thị Tươi, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,Nội thất đầy đủ,Nhà mặt phố,,20 m,180 m²,2800000000,35 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,4 phòng,80 m²,4 phòng,Phường Dĩ An,4 m
"Đường DX 057, Phường Phú Mỹ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,,Nhà ngõ,,25 m,125 m²,3900000000,"31,2 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,125 m²,2 phòng,Phường Phú Mỹ,5 m
"Đường Vành Đai 4, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,Nam,2,,Nhà phố liền kề,,16 m,96 m²,600000000,"7,5 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,80 m²,2 phòng,Phường Thới Hòa,5 m
"Đường ĐT 43, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà mặt phố,,,50 m²,2000000000,40 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,1 phòng,50 m²,1 phòng,Phường Bình Chuẩn,
"220 Hvl, Phường Phú Lợi, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,,Nhà ngõ,,12 m,100 m²,1700000000,17 triệu/m²,Đã có sổ,,Bình Dương,1 phòng,100 m²,1 phòng,Phường Phú Lợi,8 m
"Đường 15, Phường An Phú, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,3,Nội thất cao cấp,Nhà mặt phố,,,120 m²,1900000000,"15,83 triệu/m²",Đã có sổ,,Bình Dương,4 phòng,120 m²,3 phòng,Phường An Phú,
"Khu Phố Tây A, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,,Nhà mặt phố,,,,4800000000,"47,52 triệu/m²",Đã có sổ,,Bình Dương,3 phòng,101.2 m²,3 phòng,Phường Dĩ An,
"Đường Bùi Thị Xuân, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,,,Nhà mặt phố,,20 m,87 m²,2200000000,"21,57 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,2 phòng,102 m²,2 phòng,Phường Tân Bình,5 m
"Bình Chuẩn 22, Phường Bình Chuẩn, Thành phố Thuận An, Bình Dương",Thành phố Thuận An,,,,,Nhà mặt phố,,6 m,50 m²,560000000,"18,67 triệu/m²",Đã có sổ,,Bình Dương,2 phòng,30 m²,2 phòng,Phường Bình Chuẩn,5 m
"Đường Hố Lang, Phường Tân Bình, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,,3,Nội thất đầy đủ,Nhà mặt phố,,20 m,180 m²,2800000000,35 triệu/m²,Đã có sổ,Hẻm xe hơi,Bình Dương,4 phòng,80 m²,4 phòng,Phường Tân Bình,4 m
"Đường Lê Hồng Phong, Phường Phú Thọ, Thành phố Thủ Dầu Một, Bình Dương",Thành phố Thủ Dầu Một,,,,,Nhà ngõ,,17 m,105 m²,2099000000,"19,99 triệu/m²",Đã có sổ,Hẻm xe hơi,Bình Dương,3 phòng,105 m²,1 phòng,Phường Phú Thọ,6 m
