address,area,block,direction,land_feature,land_type,length,price,price_m2,property_back_condition,property_legal_document,property_road_condition,region,size,ward,width
"Đường ĐT 742, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Đất thổ cư,14 m,920000000,"14,6 triệu/m2",,Đã có sổ,,Bình Dương,63 m2,Xã Vĩnh Tân,4 m
"DT747, Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,20 m,1385000000,"11,17 triệu/m2",,Đã có sổ,,Bình Dương,124 m2,Phường Uyên Hưng,6 m
"Đường ĐT 741, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,70 m,870000000,"2,49 triệu/m2",,Đã có sổ,Hẻm xe hơi,Bình Dương,350 m2,Phường Chánh Phú Hòa,5 m
"Đường D10, Xã Vĩnh Tân, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,Mặt tiền,Đất thổ cư,,1050000000,"13,13 triệu/m2",,Đã có sổ,,Bình Dương,80 m2,Xã Vĩnh Tân,
"đường 7b, Phường Chánh Phú Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất nông nghiệp,1000 m,6400000000,"5,33 triệu/m2",,Đã có sổ,,Bình Dương,1200 m2,Phường Chánh Phú Hòa,12 m
"Đường DK9, Phường Thới Hòa, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,khu k,,Mặt tiền,Đất thổ cư,30 m,3750000,12.500 đ/m2,,Đã có sổ,,Bình Dương,300 m2,Phường Thới Hòa,10 m
"Đường ĐT 747, Phường Uyên Hưng, Thị xã Tân Uyên, Bình Dương",Thị xã Tân Uyên,,,,Đất thổ cư,,1200000000,"9,6 triệu/m2",,Đã có sổ,,Bình Dương,125 m2,Phường Uyên Hưng,
"đường Ngô Quyền, Phường Mỹ Phước, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,Mặt tiền,Đất thổ cư,18 m,1580000000,"17,56 triệu/m2",,Đã có sổ,,Bình Dương,90 m2,Phường Mỹ Phước,5 m
"Đường ĐT 741, Phường Hòa Lợi, Thị xã Bến Cát, Bình Dương",Thị xã Bến Cát,,,,Đất thổ cư,,5590000000,"39,93 triệu/m2",,,,Bình Dương,140 m2,Phường Hòa Lợi,
"Đường Quốc Lộ 13, Xã Lai Hưng, Huyện Bàu Bàng, Bình Dương",Huyện Bàu Bàng,,,Mặt tiền,Đất nông nghiệp,100 m,1100000000,"1,1 triệu/m2",,Đã có sổ,,Bình Dương,1000 m2,Xã Lai Hưng,10 m
"Chợ Dĩ An 1, Phường Dĩ An, Thị xã Dĩ An, Bình Dương",Thị xã Dĩ An,,Đông,Mặt tiền,Đất thổ cư,20 m,2179000000,"21,57 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,Bình Dương,101 m2,Phường Dĩ An,5 m
"đường dự án nhựa 12m, Thị trấn Dầu Tiếng, Huyện Dầu Tiếng, Bình Dương",Huyện Dầu Tiếng,,Nam,Mặt tiền,Đất thổ cư,80 m,6500000000,"2,52 triệu/m2",,Đã có sổ,,Bình Dương,2577 m2,Thị trấn Dầu Tiếng,31 m
"DT 741, Xã Tân Bình, Huyện Bắc Tân Uyên, Bình Dương",Huyện Bắc Tân Uyên,,,Mặt tiền,Đất thổ cư,58 m,8700000000,"9,58 triệu/m2",Nở hậu,Đã có sổ,,Bình Dương,908 m2,Xã Tân Bình,15 m
