address,area,block,direction,floors,furnishing_sell,house_type,land_type,length,living_size,price,price_m2,property_legal_document,property_road_condition,region,rooms,size,toilets,ward,width
"136/151, Hẻm 136, đồng khởi, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Đông Nam,,,Nhà mặt phố,,32 m,167 m²,6700000000,"40,12 triệu/m²",Đã có sổ,,Đồng Nai,2 phòng,167 m²,2 phòng,Phường Tân Hiệp,5 m
"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà ngõ,,18 m,210 m²,6500000000,"90,28 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,72 m²,2 phòng,Phường Thống Nhất,4 m
"Đường Bùi Trọng Nghĩa, Phường Trảng Dài, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Bắc,,Nội thất đầy đủ,Nhà ngõ,,5 m,150 m²,2400000000,32 triệu/m²,Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,75 m²,2 phòng,Phường Trảng Dài,15 m
"Đường N1, Phường Bửu Long, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà phố liền kề,,,,4700000000,"49,47 triệu/m²",Đã có sổ,,Đồng Nai,3 phòng,95 m²,3 phòng,Phường Bửu Long,
"Đường D12, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,18 m,290 m²,8500000000,"118,06 triệu/m²",Đã có sổ,,Đồng Nai,4 phòng,72 m²,3 phòng,Phường Thống Nhất,4 m
"Đường Phạm Văn Thuận, Phường Tam Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,18 m,72 m²,10900000000,"151,39 triệu/m²",Đã có sổ,,Đồng Nai,1 phòng,72 m²,1 phòng,Phường Tam Hiệp,4 m
"Đường Bắc Sơn, Phường Phước Tân, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,Nam,,,Nhà ngõ,,23 m,100 m²,750000000,"7,5 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,2 phòng,100 m²,1 phòng,Phường Phước Tân,4.6 m
"Đường Phan Trung, Phường Tân Mai, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà mặt phố,,,190 m²,7000000000,"155,56 triệu/m²",Đã có sổ,,Đồng Nai,1 phòng,45 m²,1 phòng,Phường Tân Mai,
"75, Đường Nguyễn Ái Quốc, Phường Tân Phong, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,,Nhà biệt thự,,23 m,219 m²,7200000000,"32,88 triệu/m²",Đã có sổ,Hẻm xe hơi,Đồng Nai,3 phòng,219 m²,2 phòng,Phường Tân Phong,9 m
"Đường Thái Hoà, Xã Hố Nai 3, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,,,Nhà ngõ,,22 m,75 m²,670000000,"6,09 triệu/m²",Giấy tờ khác,Hẻm xe hơi,Đồng Nai,2 phòng,110 m²,1 phòng,Xã Hố Nai 3,5 m
