address,area,block,direction,land_feature,land_type,length,price,price_m2,property_back_condition,property_legal_document,property_road_condition,region,size,ward,width
"Đường Hương Lộ 15, Xã Bình Lợi, Huyện Vĩnh Cửu, Đồng Nai",Huyện Vĩnh Cửu,,,Mặt tiền,Đất nông nghiệp,21 m,8500000000,"5,83 triệu/m2",,Đã có sổ,Hẻm xe hơi,Đồng Nai,1457 m2,Xã Bình Lợi,67 m
"Đường Điểu Xiển, Xã Bàu Trâm, Thành phố Long Khánh, Đồng Nai",Thành phố Long Khánh,,,,Đất thổ cư,20 m,615000000,"6,15 triệu/m2",,Đã có sổ,,Đồng Nai,100 m2,Xã Bàu Trâm,5 m
"Đường Quốc Lộ 1, Phường Tân Biên, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,,Đất thổ cư,20 m,1350000000,"13,5 triệu/m2",,Đã có sổ,,Đồng Nai,100 m2,Phường Tân Biên,5 m
"Đường 101, Xã Túc Trưng, Huyện Định Quán, Đồng Nai",Huyện Định Quán,,,Mặt tiền,Đất thổ cư,50 m,2550000000,"1,45 triệu/m2",,Đã có sổ,,Đồng Nai,1754 m2,Xã Túc Trưng,31 m
"Đồng Khởi, Phường Tân Hiệp, Thành phố Biên Hòa, Đồng Nai",Thành phố Biên Hòa,,,Mặt tiền,Đất thổ cư,20 m,5100000000,"56,67 triệu/m2",,,,Đồng Nai,90 m2,Phường Tân Hiệp,4 m
"gia canh, Xã Gia Canh, Huyện Định Quán, Đồng Nai",Huyện Định Quán,,,Mặt tiền,Đất nông nghiệp,100 m,900000000,284.629 đ/m2,,Đã có sổ,,Đồng Nai,3162 m2,Xã Gia Canh,31 m
"Đường Eden, Xã Bắc Sơn, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,Đông,Mặt tiền,Đất nông nghiệp,39.73 m,1600000000,"8,04 triệu/m2",,Đã có sổ,,Đồng Nai,199.2 m2,Xã Bắc Sơn,5 m
"Bàu Cạn, Xã Bàu Cạn, Huyện Long Thành, Đồng Nai",Huyện Long Thành,,,Mặt tiền,Đất nông nghiệp,60 m,3000000000,"2,89 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,Đồng Nai,1038 m2,Xã Bàu Cạn,15 m
"Đường 20, Xã Hưng Thịnh, Huyện Trảng Bom, Đồng Nai",Huyện Trảng Bom,,,,Đất nông nghiệp,10 m,179000000,"1,79 triệu/m2",,Đã có sổ,Hẻm xe hơi,Đồng Nai,100 m2,Xã Hưng Thịnh,10 m
"Đường Phạm Văn Đáng, Xã Phú Hữu, Huyện Nhơn Trạch, Đồng Nai",Huyện Nhơn Trạch,,Đông,,Đất thổ cư,19 m,2800000000,"24,78 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,Đồng Nai,113 m2,Xã Phú Hữu,6 m
