address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,furnishing_sell,price,price_m2,property_legal_document,property_status,region,rooms,size,toilets,unitnumber,ward
"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",,Officetel,Quận 7,Đông,,Tây,,,2200000000,"57,89 triệu/m²",,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,38 m²,2 phòng,,Phường Tân Hưng
"436, 436 Đường Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh",,Chung cư,Quận 12,,,,,Hoàn thiện cơ bản,1650000000,"27,5 triệu/m²",Đã có sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,60 m²,2 phòng,,Phường Thới An
"Đường Nguyễn Cửu Phú, Phường Tân Tạo, Quận Bình Tân, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận Bình Tân,Đông Nam,,Tây Bắc,,Hoàn thiện cơ bản,1500000000,"27,78 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,54 m²,1 phòng,,Phường Tân Tạo
"Đường Tạ Quang Bửu, Phường 6, Quận 8, Tp Hồ Chí Minh",,Chung cư,Quận 8,,,,,,2500000000,"41,67 triệu/m²",Đã có sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,60 m²,1 phòng,,Phường 6
"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh",,Chung cư,Quận 2,,,,,Nội thất đầy đủ,2500000000,"52,08 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,48 m²,1 phòng,,Phường An Phú
"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận Bình Tân,,,,,Hoàn thiện cơ bản,2300000000,"30,67 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,75 m²,2 phòng,,Phường An Lạc
"15B, 15B Đường Nguyễn Lương Bằng, Xã Phú Xuân, Huyện Nhà Bè, Tp Hồ Chí Minh",,Chung cư,Huyện Nhà Bè,,,,1,Hoàn thiện cơ bản,1720000000,"22,34 triệu/m²",Đã có sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,77 m²,2 phòng,,Xã Phú Xuân
"KĐT City Horse Đường Mai Chí Thọ, Phường An Phú, Quận 2, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận 2,,,Đông Nam,,Nội thất đầy đủ,3500000000,"47,95 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,73 m²,2 phòng,,Phường An Phú
"135/533, 135/533 Đường Lê Đức Thọ, Phường 13, Quận Gò Vấp, Tp Hồ Chí Minh",,Chung cư,Quận Gò Vấp,Nam,B,Tây,9,,2100000000,"34,43 triệu/m²",Giấy tờ khác,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,61.7 m²,2 phòng,B09-16,Phường 13
"Đường số 1, Phường Trường Thọ, Quận Thủ Đức, Tp Hồ Chí Minh",,Chung cư,Quận Thủ Đức,,,,,,1950000000,"29,1 triệu/m²",,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,67 m²,2 phòng,,Phường Trường Thọ
"cống lở, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",,Chung cư,Quận Tân Bình,,,,,Nội thất đầy đủ,1054000000,"30,11 triệu/m²",Giấy tờ khác,Chưa bàn giao,Tp Hồ Chí Minh,1 phòng,35 m²,1 phòng,,Phường 15
"Nội khu dự án Vinhomes Grand Park- đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, TP HCM., Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",,Chung cư,Quận 9,Tây,,Đông Nam,,,2100000000,"48,84 triệu/m²",,Chưa bàn giao,Tp Hồ Chí Minh,1 phòng,43 m²,1 phòng,,Phường Long Thạnh Mỹ
"Đường Nguyễn Thị Sóc, Xã Xuân Thới Đông, Huyện Hóc Môn, Tp Hồ Chí Minh",,Chung cư,Huyện Hóc Môn,,D,,4,Nội thất cao cấp,1300000000,"21,31 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,61 m²,2 phòng,D4-06,Xã Xuân Thới Đông
"2317A Huỳnh Tấn Phát, Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",,Chung cư,Huyện Nhà Bè,,,,3,,1850000000,"19,89 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,93 m²,2 phòng,3.5,Thị trấn Nhà Bè
"Số 171A, Số 171A  Đường Hoàng Hoa Thám, Phường 13, Quận Tân Bình, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận Tân Bình,Tây,F,Bắc,14,Nội thất đầy đủ,4300000000,"45,74 triệu/m²",Đã có sổ,Đã bàn giao,Tp Hồ Chí Minh,3 phòng,94 m²,2 phòng,01,Phường 13
"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",,Chung cư,Quận Tân Phú,,,,,Nội thất cao cấp,3180000000,"48,92 triệu/m²",Đang chờ sổ,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,65 m²,2 phòng,,Phường Hiệp Tân
