address,area,block,direction,land_feature,land_type,length,price,price_m2,property_back_condition,property_legal_document,property_road_condition,region,size,ward,width
"Đường Trần Văn Giàu, Xã Phạm Văn Hai, Huyện Bình Chánh, Tp Hồ Chí Minh",Huyện Bình Chánh,,Đông Nam,Mặt tiền,Đất nền dự án,16 m,1200000000,15 triệu/m2,,Đã có sổ,,Tp Hồ Chí Minh,80 m2,Xã Phạm Văn Hai,5 m
"Thạnh Xuan 14, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Quận 12,,,Mặt tiền,Đất nông nghiệp,17 m,950000000,"15,83 triệu/m2",,Đã có sổ,,Tp Hồ Chí Minh,60 m2,Phường Thạnh Xuân,4 m
"Đường Võ Thị Thừa, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",Quận 12,,Đông Nam,,Đất thổ cư,13.32 m,2800000000,"52,83 triệu/m2",,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,53 m2,Phường An Phú Đông,4 m
"Đường Dương Đình Cúc, Xã Tân Kiên, Huyện Bình Chánh, Tp Hồ Chí Minh",Huyện Bình Chánh,,,,Đất thổ cư,,13000000000,13 triệu/m2,,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,1000 m2,Xã Tân Kiên,
"đường số 30, Phường Bình Trưng Tây, Quận 2, Tp Hồ Chí Minh",Quận 2,,Tây Nam,,Đất thổ cư,20.5 m,5600000000,"62,92 triệu/m2",,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,89 m2,Phường Bình Trưng Tây,4.83 m
"Đường Huỳnh Tấn Phát, Thị trấn Nhà Bè, Huyện Nhà Bè, Tp Hồ Chí Minh",Huyện Nhà Bè,,,,Đất nông nghiệp,12 m,3500000000,"29,17 triệu/m2",,Đã có sổ,,Tp Hồ Chí Minh,120 m2,Thị trấn Nhà Bè,11 m
"Đường Võ Thị Thừa, Phường An Phú Đông, Quận 12, Tp Hồ Chí Minh",Quận 12,,,,Đất thổ cư,20 m,2650000000,"27,04 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,98 m2,Phường An Phú Đông,5 m
"Đường Phú Thuận, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",Quận 7,,,,Đất thổ cư,17.7 m,11900000000,"74,84 triệu/m2",,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,159.3 m2,Phường Phú Thuận,9 m
"lưu khai hồng, Thị trấn Củ Chi, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,Mặt tiền,Đất thổ cư,20 m,4500000000,"22,5 triệu/m2",,Đã có sổ,,Tp Hồ Chí Minh,200 m2,Thị trấn Củ Chi,10 m
"575, Đường Quốc lộ 1A, Xã Tân An Hội, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,,Đất nông nghiệp,38 m,2560000000,"6,99 triệu/m2",,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,366 m2,Xã Tân An Hội,9 m
"MT kênh 6, Xã Bình Lợi, Huyện Bình Chánh, Tp Hồ Chí Minh",Huyện Bình Chánh,,Đông Nam,Mặt tiền,Đất nông nghiệp,71.6 m,3000000000,3 triệu/m2,,Đã có sổ,,Tp Hồ Chí Minh,1000 m2,Xã Bình Lợi,14 m
"99, Đường Cây Gõ, Xã An Phú, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,,Đất nông nghiệp,48 m,1250000000,600.384 đ/m2,,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,2082 m2,Xã An Phú,48 m
"16, Thạnh Xuân 25 Hà Huy Giáp, Phường Thạnh Xuân, Quận 12, Tp Hồ Chí Minh",Quận 12,,Tây Nam,,Đất nông nghiệp,17 m,600000000,"8,7 triệu/m2",,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,69 m2,Phường Thạnh Xuân,4 m
"tân hiệp 6, Xã Tân Hiệp, Huyện Hóc Môn, Tp Hồ Chí Minh",Huyện Hóc Môn,,,Mặt tiền,Đất thổ cư,28 m,3600000000,"32,73 triệu/m2",,Đã có sổ,,Tp Hồ Chí Minh,110 m2,Xã Tân Hiệp,4 m
"Bùi Thị Ngon, Xã An Nhơn Tây, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,Đông Nam,,Đất nông nghiệp,23 m,860000000,"2,83 triệu/m2",,Đã có sổ,,Tp Hồ Chí Minh,304 m2,Xã An Nhơn Tây,14 m
"Đường Nguyễn Duy, Phường 9, Quận 8, Tp Hồ Chí Minh",Quận 8,,Đông Bắc,Mặt tiền,Đất nền dự án,15 m,550000000,"9,17 triệu/m2",,Đang chờ sổ,,Tp Hồ Chí Minh,60 m2,Phường 9,4 m
"Đường Tỉnh Lộ 7, Xã An Nhơn Tây, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,Mặt tiền,Đất nông nghiệp,,1550000000,"2,81 triệu/m2",Nở hậu,Đã có sổ,Hẻm xe hơi,Tp Hồ Chí Minh,551 m2,Xã An Nhơn Tây,
"Nguyễn Thị Đăng, Xã Tân Thạnh Đông, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,,Đất nông nghiệp,89 m,2100000000,941.704 đ/m2,,Đã có sổ,,Tp Hồ Chí Minh,2230 m2,Xã Tân Thạnh Đông,20 m
"tĩnh lộ 2, Xã Trung Lập Hạ, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,Mặt tiền,Đất thổ cư,24 m,1800000000,15 triệu/m2,,Đã có sổ,,Tp Hồ Chí Minh,120 m2,Xã Trung Lập Hạ,5 m
"Đường Số 2, Phường Long Trường, Quận 9, Tp Hồ Chí Minh",Quận 9,,,Mặt tiền,Đất thổ cư,26.2 m,20100000000,"85,9 triệu/m2",,Đã có sổ,,Tp Hồ Chí Minh,234 m2,Phường Long Trường,8.9 m
"Đường 680, Xã Thái Mỹ, Huyện Củ Chi, Tp Hồ Chí Minh",Huyện Củ Chi,,,Mặt tiền,Đất nền dự án,25 m,1000000000,2 triệu/m2,,Đã có sổ,,Tp Hồ Chí Minh,500 m2,Xã Thái Mỹ,20 m
