address,apartment_feature,apartment_type,area,balconydirection,block,direction,floornumber,floors,furnishing_sell,house_type,land_feature,land_type,length,living_size,price,price_m2,property_back_condition,property_legal_document,property_road_condition,property_status,region,rooms,size,toilets,type_real_estate,unitnumber,ward,width
"Đường Đồng Văn Cống, Tp Hồ Chí Minh",,1,,,,,,,,,,,,,1750000000,"27,34 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,64 m²,2 phòng,Đất,,,
"Đường Phan Xích Long, Phường 7, Tp Hồ Chí Minh",,1,,Tây Bắc,,Đông Nam,1,,Nội thất cao cấp,,,,,,2200000000,"56,41 triệu/m²",,1,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,39 m²,1 phòng,Đất,,Phường 7,
"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",,Chung cư,Quận Tân Phú,,,,,,Hoàn thiện cơ bản,,,,,,2450000000,"46,23 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,53 m²,1 phòng,Căn hộ/Chung cư,,Phường Hiệp Tân,
"Đường Phan Chu Trinh, Phường 12, Quận Bình Thạnh, Tp Hồ Chí Minh",,1,Quận Bình Thạnh,4,A,Nam,7,,2,,,,,,2750000000,"44,35 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,62 m²,2 phòng,Căn hộ/Chung cư,,Phường 12,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Tp Hồ Chí Minh",,1,,,,Đông Bắc,,,,,,,,,1280000000,"41,29 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,31 m²,1 phòng,Căn hộ/Chung cư,,Phường Long Thạnh Mỹ,
"369, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh",,1,Quận 3,,,,,,2,,,,,,1400000000,"46,67 triệu/m2",,Đã có sổ,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,30 m2,1 phòng,Căn hộ/Chung cư,,Phường 12,
"Đường Nguyễn Lương Bằng, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",,Chung cư,Quận 7,Tây,,Đông,25,,Nội thất cao cấp,,,,,,2700000000,36 triệu/m²,,Đã có sổ,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,75.175 m²,1 phòng,Căn hộ/Chung cư,,Phường Tân Hưng,
"Đường Gò Cát, Phường Phú Hữu, Quận 9, Tp Hồ Chí Minh",,Chung cư,Quận 9,,A,,16,,Nội thất cao cấp,,,,,,1680000000,"34,29 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,Tp Hồ Chí Minh,1 phòng,49 m²,1 phòng,Căn hộ/Chung cư,,Phường Phú Hữu,
"334, 334 Đường Tô Hiến Thành, Phường 14, Quận 10, Tp Hồ Chí Minh",,Chung cư,Quận 10,,,,,,Nội thất cao cấp,,,,,,3850000000,77 triệu/m²,,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,50 m²,1 phòng,Căn hộ/Chung cư,,Phường 14,
"Đường Xa lộ Đại Hàn, Phường Tam Bình, Quận Thủ Đức, Tp Hồ Chí Minh",Căn góc,Chung cư,Quận Thủ Đức,Đông Nam,B,Tây Bắc,10,,,,,,,,1550000000,31 triệu/m²,,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,50 m²,2 phòng,Căn hộ/Chung cư,B11,Phường Tam Bình,
"Đường Võ Văn Kiệt, Phường 16, Quận 8, Tp Hồ Chí Minh",,1,Quận 8,,,,,,Hoàn thiện cơ bản,,,,,,1650000000,30 triệu/m²,,,,Chưa bàn giao,Tp Hồ Chí Minh,2 phòng,55 m²,1 phòng,Nhà ở,,Phường 16,
"0.15, Đường Ba Tơ, Phường 7, Quận 8, Tp Hồ Chí Minh",,Chung cư,Quận 8,Tây,,Tây,,,,,,,,,2850000000,"33,53 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,85.5 m²,2 phòng,Nhà ở,,Phường 7,
"Số 207, Số 207 Đường Nguyễn Xí, Phường 26, Quận Bình Thạnh, Tp Hồ Chí Minh",,1,Quận Bình Thạnh,,,,,,,,,,,,1900000000,"47,5 triệu/m²",,,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,40 m²,1 phòng,Nhà ở,,Phường 26,
"Đường Trần Đại Nghĩa, Xã Tân Nhựt, Huyện Bình Chánh, Tp Hồ Chí Minh",,Chung cư,Huyện Bình Chánh,,,,,,Hoàn thiện cơ bản,,,,,,680000000,"17,89 triệu/m²",,Đã có sổ,,Đã bàn giao,Tp Hồ Chí Minh,1 phòng,38 m²,1 phòng,Nhà ở,,Xã Tân Nhựt,
"Đường Nguyễn Thị Định, Quận 2, ",,1,Quận 2,,A,Đông Nam,11,,Hoàn thiện cơ bản,,,,,,3660000000,"53,82 triệu/m²",,Đang chờ sổ,,Chưa bàn giao,,2 phòng,68 m²,2 phòng,Nhà ở,,,
"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",,Chung cư,Quận 9,,,,,,Hoàn thiện cơ bản,,,,,,1284000000,"27,32 triệu/m²",,Đang chờ sổ,,Đã bàn giao,Tp Hồ Chí Minh,2 phòng,47 m²,1 phòng,Đất,,Phường Long Thạnh Mỹ,
