id,type_real_estate,unitnumber,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,block,price,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition
88388008,Căn hộ/Chung cư,,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Đã bàn giao,"30,67 triệu/m²",,,Đang chờ sổ,75 m²,,2300000000.0,,Chung cư,Hoàn thiện cơ bản,Căn góc,2 phòng,2 phòng,,,,,,,,,
81110105,Căn hộ/Chung cư,,,,,"Đường Nguyễn Xiển, ",Đã bàn giao,"42,33 triệu/m²",,,Đang chờ sổ,30 m²,,1270000000.0,,1,,,1 phòng,1 phòng,,,,,,,,,
88577722,Căn hộ/Chung cư,1.06,Phường 14,Quận Gò Vấp,Tp Hồ Chí Minh,"Lô C3 -1.06, Đường 45, Phường 14, Quận Gò Vấp, Tp Hồ Chí Minh",Đã bàn giao,"32,11 triệu/m²",,,Đã có sổ,71 m²,Lô C3,2280000000.0,1,Chung cư,Nội thất đầy đủ,,2 phòng,2 phòng,,,,,,,,,
88707315,Căn hộ/Chung cư,,Phường Thới An,Quận 12,Tp Hồ Chí Minh,"436, 436 Đường Lê Văn Khương, Phường Thới An, Quận 12, Tp Hồ Chí Minh",Đã bàn giao,"21,33 triệu/m²",Tây,Đông,Đang chờ sổ,75 m²,A,1600000000.0,8,Chung cư,Nội thất cao cấp,,2 phòng,2 phòng,,,,,,,,,
88709331,Căn hộ/Chung cư,CH0808,Phường 12,Quận 6,Tp Hồ Chí Minh,"336/20 Đường Nguyễn Văn Luông, Phường 12, Quận 6, Hồ Chí Minh, Phường 12, Quận 6, Tp Hồ Chí Minh",Đã bàn giao,"53,33 triệu/m²",Bắc,Nam,Đang chờ sổ,60 m²,1,3200000000.0,8,Chung cư,,,2 phòng,2 phòng,,,,,,,,,
88394013,Căn hộ/Chung cư,,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"47,44 triệu/m²",,,Đang chờ sổ,39 m²,B,1850000000.0,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,
88562038,Căn hộ/Chung cư,,Phường Thảo Điền,Quận 2,Tp Hồ Chí Minh,"Đường 66, Phường Thảo Điền, Quận 2, Tp Hồ Chí Minh",Đã bàn giao,"44,14 triệu/m²",Tây Nam,Đông Bắc,,111 m²,,4900000000.0,,Chung cư,,,3 phòng,3 phòng,,,,,,,,,
88797628,Căn hộ/Chung cư,,Phường 15,Quận Tân Bình,Tp Hồ Chí Minh,"Đường Phan Huy Ích, Phường 15, Quận Tân Bình, Tp Hồ Chí Minh",Chưa bàn giao,"19,79 triệu/m²",,,Đã có sổ,48 m²,,950000000.0,,Chung cư,Nội thất đầy đủ,,1 phòng,,,,,,,,,,
55008386,Căn hộ/Chung cư,,Phường An Lạc,,,"Đường Võ Văn Kiệt, Phường An Lạc, ",Chưa bàn giao,"38,93 triệu/m²",,,Đang chờ sổ,56 m²,,2180000000.0,,1,,,2 phòng,1 phòng,,,,,,,,,
86755370,Căn hộ/Chung cư,,Phường Thới An,,Tp Hồ Chí Minh,"10, Đường Lê Thị Riêng, Phường Thới An, Tp Hồ Chí Minh",Đã bàn giao,"33,39 triệu/m²",3,Tây,Đang chờ sổ,56 m²,1,1870000000.0,10,1,,Căn góc,2 phòng,1 phòng,,,,,,,,,
