id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88869349,1636101911354,Căn hộ/Chung cư,Phường Tam Hòa,Thành phố Biên Hòa,Đồng Nai,"Đường Đồng Khởi, Phường Tam Hòa, Thành phố Biên Hòa, Đồng Nai",Đã bàn giao,"16,43 triệu/m²",,,Đang chờ sổ,70 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,1150000000.0
89325874,1636100818000,Căn hộ/Chung cư,Phường Thống Nhất,Thành phố Biên Hòa,Đồng Nai,"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Đã bàn giao,"32,29 triệu/m²",Bắc,Nam,Đã có sổ,48 m²,,Chung cư,Nội thất đầy đủ,,1 phòng,1 phòng,,,,,,,,,,1550000000.0
87924820,1636098379997,Căn hộ/Chung cư,Phường Hố Nai,Thành phố Biên Hòa,Đồng Nai,"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Chưa bàn giao,"5,37 triệu/m²",,,Giấy tờ khác,67 m²,,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,,360000000.0
89311358,1636079885000,Căn hộ/Chung cư,Phường Hố Nai,Thành phố Biên Hòa,Đồng Nai,"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Chưa bàn giao,"24,29 triệu/m²",,,Đã có sổ,70 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,1700000000.0
89200226,1636079727813,Căn hộ/Chung cư,Phường Thống Nhất,Thành phố Biên Hòa,Đồng Nai,"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Đã bàn giao,208.333 đ/m²,,,Đã có sổ,48 m²,,Chung cư,,,2 phòng,1 phòng,,,,,,,,,,10000000.0
88611524,1636073105394,Căn hộ/Chung cư,Phường Hoá An,Thành phố Biên Hòa,Đồng Nai,"407, Đường Quốc lộ 1K, Phường Hoá An, Thành phố Biên Hòa, Đồng Nai",Đã bàn giao,"10,92 triệu/m²",Đông Bắc,Đông Nam,Đã có sổ,76 m²,,Chung cư,Nội thất đầy đủ,,2 phòng,1 phòng,,,,,,,,,,830000000.0
89304638,1636039275000,Căn hộ/Chung cư,Phường Hố Nai,Thành phố Biên Hòa,Đồng Nai,"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Chưa bàn giao,"33,82 triệu/m²",,,Đang chờ sổ,68 m²,,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,,2300000000.0
87754220,1636026301653,Căn hộ/Chung cư,Phường Hố Nai,Thành phố Biên Hòa,Đồng Nai,"368 Đường Xa Lộ Hà Nội, Phường Hố Nai, Thành phố Biên Hòa, Tỉnh Đồng Nai., Phường Hố Nai, Thành phố Biên Hòa, Đồng Nai",Chưa bàn giao,"32,84 triệu/m²",Đông Nam,Tây,Giấy tờ khác,67 m²,16,Chung cư,Hoàn thiện cơ bản,,2 phòng,2 phòng,,,,,,,,,,2200000000.0
89262108,1636014832638,Căn hộ/Chung cư,Phường Thống Nhất,Thành phố Biên Hòa,Đồng Nai,"đường vo thi sau, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Đã bàn giao,"31,38 triệu/m²",,,Đang chờ sổ,94 m²,,Chung cư,Bàn giao thô,,2 phòng,2 phòng,,,,,,,,,,2950000000.0
89261985,1636013633612,Căn hộ/Chung cư,Phường Thống Nhất,Thành phố Biên Hòa,Đồng Nai,"Đường Võ Thị Sáu, Phường Thống Nhất, Thành phố Biên Hòa, Đồng Nai",Đã bàn giao,"35,48 triệu/m²",,,Đang chờ sổ,62 m²,,Chung cư,Nội thất cao cấp,,1 phòng,2 phòng,,,,,,,,,,2200000000.0
