id,list_time,type_real_estate,ward,area,region,address,property_status,price_m2,direction,balconydirection,property_legal_document,size,floornumber,apartment_type,furnishing_sell,apartment_feature,rooms,toilets,floors,house_type,living_size,width,length,land_type,property_road_condition,land_feature,property_back_condition,price
88322742,1635840143429,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"33,67 triệu/m²",Đông Bắc,,,69 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,2323000000
88388008,1633357658000,Căn hộ/Chung cư,Phường An Lạc,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Võ Văn Kiệt, Phường An Lạc, Quận Bình Tân, Tp Hồ Chí Minh",Đã bàn giao,"30,67 triệu/m²",,,Đang chờ sổ,75 m²,,Chung cư,Hoàn thiện cơ bản,Căn góc,2 phòng,2 phòng,,,,,,,,,,2300000000
88823640,1635584572511,Căn hộ/Chung cư,Phường Hiệp Bình Chánh,Quận Thủ Đức,Tp Hồ Chí Minh,"Đường Số 12, Phường Hiệp Bình Chánh, Quận Thủ Đức, Tp Hồ Chí Minh",Chưa bàn giao,"25,85 triệu/m²",,,Giấy tờ khác,65 m²,,Chung cư,,Căn góc,2 phòng,1 phòng,,,,,,,,,,1680000000
82819851,1634695061327,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"12,13 triệu/m²",,,Đã có sổ,47 m²,,Chung cư,,,2 phòng,1 phòng,,,,,,,,,,570000000
88042956,1634813856942,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"36,81 triệu/m²",,,Đang chờ sổ,47 m²,,Chung cư,,,2 phòng,,,,,,,,,,,1730000000
89208150,1636129229175,Căn hộ/Chung cư,Phường 22,Quận Bình Thạnh,Tp Hồ Chí Minh,"Số 90, Số 90 Đường Nguyễn Hữu Cảnh, Phường 22, Quận Bình Thạnh, Tp Hồ Chí Minh",Đã bàn giao,"80,36 triệu/m²",,,Đang chờ sổ,56 m²,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,,4500000000
89305029,1636128911575,Căn hộ/Chung cư,Phường Thạnh Lộc,Quận 12,Tp Hồ Chí Minh,"Đường Vườn Lài, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh",Đã bàn giao,"29,05 triệu/m²",Đông,Tây,Đang chờ sổ,42.5 m²,11,Chung cư,Nội thất đầy đủ,,2 phòng,1 phòng,,,,,,,,,,1220000000
88933314,1636128794304,Căn hộ/Chung cư,Phường Bình Trị Đông A,Quận Bình Tân,Tp Hồ Chí Minh,"Đường Hương Lộ 2, Phường Bình Trị Đông A, Quận Bình Tân, Tp Hồ Chí Minh",Đã bàn giao,"30,71 triệu/m²",Tây,Đông,Đang chờ sổ,70 m²,14,Chung cư,Nội thất cao cấp,,2 phòng,2 phòng,,,,,,,,,,2150000000
88692746,1636127371204,Căn hộ/Chung cư,Phường Long Thạnh Mỹ,Quận 9,Tp Hồ Chí Minh,"Đường Nguyễn Xiển, Phường Long Thạnh Mỹ, Quận 9, Tp Hồ Chí Minh",Đã bàn giao,"39,86 triệu/m²",,Đông Nam,Giấy tờ khác,69 m²,,Chung cư,Nội thất đầy đủ,,3 phòng,2 phòng,,,,,,,,,,2750000000
89218276,1636127353144,Căn hộ/Chung cư,Phường Hiệp Tân,Quận Tân Phú,Tp Hồ Chí Minh,"239 – 241 – 278, 239 – 241 – 278  Đường Hòa Bình, Phường Hiệp Tân, Quận Tân Phú, Tp Hồ Chí Minh",Đã bàn giao,"43,08 triệu/m²",,,Đang chờ sổ,65 m²,,Chung cư,,,2 phòng,2 phòng,,,,,,,,,,2800000000
89062982,1636127207524,Căn hộ/Chung cư,Phường Phú Thuận,Quận 7,Tp Hồ Chí Minh,"Đường Hoàng Quốc Việt, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"45,64 triệu/m²",Tây Bắc,Tây Bắc,Đã có sổ,241 m²,34,Penthouse,Nội thất cao cấp,,3 phòng,3 phòng,,,,,,,,,,11000000000
89187805,1636127198477,Căn hộ/Chung cư,Phường Tân Hưng,Quận 7,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Phường Tân Hưng, Quận 7, Tp Hồ Chí Minh",Đã bàn giao,"42,52 triệu/m²",,Đông,Đã có sổ,127 m²,,Chung cư,Nội thất cao cấp,Căn góc,3 phòng,3 phòng,,,,,,,,,,5400000000
88876561,1636127004222,Căn hộ/Chung cư,Xã Phước Kiển,Huyện Nhà Bè,Tp Hồ Chí Minh,"Đường Nguyễn Hữu Thọ, Xã Phước Kiển, Huyện Nhà Bè, Tp Hồ Chí Minh",Đã bàn giao,"38,84 triệu/m²",Nam,Bắc,Đang chờ sổ,95 m²,2,Chung cư,Hoàn thiện cơ bản,Căn góc,3 phòng,2 phòng,,,,,,,,,,3690000000
89336162,1636126945000,Căn hộ/Chung cư,Phường 9,Quận Phú Nhuận,Tp Hồ Chí Minh,"128, 128 Đường Hồng Hà, Phường 9, Quận Phú Nhuận, Tp Hồ Chí Minh",Đã bàn giao,"57,69 triệu/m²",,,,26 m²,,Chung cư,,,1 phòng,1 phòng,,,,,,,,,,1500000000
